id,group_id,label,score,rank
120,5,group_120,7855,B
121,3,group_121,8106,A
122,9,group_122,8971,A
123,3,group_123,9497,C
124,3,group_124,201,D
125,10,group_125,9721,S
126,7,group_126,3276,A
127,7,group_127,2577,C
128,5,group_128,3630,A
129,8,group_129,2225,D
130,7,group_130,7965,D
131,4,group_131,327,D
132,5,group_132,185,A
133,6,group_133,1642,A
134,2,group_134,7852,B
135,5,group_135,3080,D
136,5,group_136,5412,D
137,7,group_137,6245,B
138,4,group_138,2358,D
139,2,group_139,5301,A
140,2,group_140,6746,D
141,9,group_141,6266,D
142,9,group_142,193,B
143,10,group_143,918,B
144,10,group_144,3022,B
145,2,group_145,7481,C
146,9,group_146,2529,B
147,10,group_147,7612,C
148,8,group_148,4513,S
149,5,group_149,7621,B
150,4,group_150,1418,S
151,2,group_151,9966,C
152,5,group_152,8178,D
153,5,group_153,4988,C
154,9,group_154,6748,A
155,6,group_155,727,B
156,1,group_156,782,D
157,1,group_157,9839,S
158,1,group_158,3578,B
159,1,group_159,9492,D
160,1,group_160,1615,B
161,2,group_161,3894,S
162,3,group_162,7001,B
163,4,group_163,9552,D
164,5,group_164,6895,A
165,6,group_165,3700,D
166,1,group_166,9887,B
167,8,group_167,5601,S
168,6,group_168,7372,B
169,5,group_169,5735,C
170,9,group_170,7888,B
171,8,group_171,9958,B
172,4,group_172,4510,C
173,2,group_173,222,B
174,4,group_174,7332,C
175,6,group_175,7258,D
176,5,group_176,5303,S
177,7,group_177,9084,A
178,8,group_178,9012,S
179,8,group_179,3835,D
180,10,group_180,4951,A
181,10,group_181,2929,D
182,3,group_182,5919,B
183,4,group_183,821,S
184,3,group_184,1419,C
185,5,group_185,131,B
186,2,group_186,1477,A
187,5,group_187,1687,A
188,8,group_188,5369,C
189,2,group_189,3535,C
190,1,group_190,3829,C
191,8,group_191,6440,B
192,8,group_192,2690,A
193,5,group_193,6395,A
194,1,group_194,5499,D
195,4,group_195,6938,C
196,10,group_196,2273,S
197,10,group_197,4452,A
198,7,group_198,2807,D
199,10,group_199,3026,C
200,7,group_200,5019,D
201,7,group_201,2605,C
202,10,group_202,9538,D
203,10,group_203,6739,S
204,3,group_204,7656,S
205,5,group_205,1570,A
206,5,group_206,5465,S
207,7,group_207,1070,S
208,4,group_208,6438,S
209,2,group_209,8581,A
210,2,group_210,4427,C
211,6,group_211,4098,B
212,9,group_212,2281,A
213,3,group_213,6234,B
214,2,group_214,8873,D
215,9,group_215,8808,A
216,9,group_216,3441,B
217,8,group_217,7216,A
218,2,group_218,1134,C
219,1,group_219,1000,A
220,3,group_220,639,D
221,5,group_221,2794,D
222,4,group_222,4862,C
223,8,group_223,6228,D
224,5,group_224,1982,C
225,1,group_225,3855,S
226,1,group_226,1544,D
227,8,group_227,1758,S
228,2,group_228,609,A
229,9,group_229,1430,B
230,3,group_230,5696,C
231,7,group_231,8612,C
232,10,group_232,5778,A
233,9,group_233,4430,C
234,3,group_234,1923,S
235,6,group_235,626,B
236,7,group_236,7293,B
237,4,group_237,758,S
238,7,group_238,5187,S
239,9,group_239,8626,B
240,9,group_240,2680,D
241,1,group_241,9060,A
242,4,group_242,3098,D
243,7,group_243,2957,C
244,7,group_244,9733,S
245,1,group_245,1192,B
246,2,group_246,1082,B
247,10,group_247,1590,S
248,1,group_248,6368,D
249,5,group_249,4244,C
250,7,group_250,51,B
251,6,group_251,8740,B
252,5,group_252,1076,D
253,1,group_253,7238,S
254,8,group_254,2356,C
255,8,group_255,2350,B
256,1,group_256,8039,C
257,5,group_257,7805,B
258,4,group_258,8597,D
259,4,group_259,2375,S
260,8,group_260,1442,D
261,10,group_261,1695,C
262,6,group_262,2086,D
263,1,group_263,1191,S
264,4,group_264,7454,B
265,1,group_265,1853,D
266,5,group_266,6267,A
267,8,group_267,3927,B
268,5,group_268,147,C
269,1,group_269,6069,D
270,6,group_270,4192,D
271,1,group_271,1799,B
272,8,group_272,3194,B
273,6,group_273,3307,D
274,3,group_274,3031,B
275,10,group_275,3028,C
276,1,group_276,1416,S
277,1,group_277,9858,B
278,4,group_278,4725,A
279,2,group_279,3413,C
280,8,group_280,8029,D
281,4,group_281,5679,S
282,10,group_282,2074,B
283,7,group_283,3762,B
284,5,group_284,6445,A
285,5,group_285,992,S
286,9,group_286,3066,C
287,7,group_287,9622,D
288,7,group_288,2347,S
289,4,group_289,7524,A
290,10,group_290,6075,A
291,8,group_291,4365,B
292,7,group_292,9967,A
293,4,group_293,4195,C
294,1,group_294,2937,S
295,1,group_295,5934,C
296,1,group_296,644,S
297,6,group_297,1598,D
298,3,group_298,7118,B
299,1,group_299,6292,S
300,1,group_300,9388,B
301,1,group_301,9415,A
302,4,group_302,1684,D
303,5,group_303,765,D
304,9,group_304,4703,B
305,8,group_305,4665,B
306,10,group_306,7004,D
307,1,group_307,9847,B
308,1,group_308,9086,D
309,2,group_309,9335,B
310,10,group_310,5293,D
311,7,group_311,7768,C
312,9,group_312,3905,A
313,9,group_313,6750,A
314,4,group_314,1137,D
315,8,group_315,8682,A
316,3,group_316,3989,B
317,3,group_317,5586,C
318,10,group_318,6530,D
319,7,group_319,284,B
320,9,group_320,3629,B
321,2,group_321,7337,C
322,9,group_322,7762,S
323,7,group_323,5467,S
324,9,group_324,6755,S
325,9,group_325,9815,S
326,6,group_326,226,S
327,4,group_327,6696,B
328,6,group_328,4016,D
329,5,group_329,4427,D
330,8,group_330,5715,C
331,6,group_331,2977,C
332,3,group_332,6299,D
333,5,group_333,8158,A
334,4,group_334,7686,B
335,3,group_335,6617,S
336,9,group_336,6087,S
337,3,group_337,288,C
338,2,group_338,4195,S
339,1,group_339,9205,A
340,9,group_340,7160,A
341,7,group_341,3596,D
342,9,group_342,6553,A
343,2,group_343,9420,C
344,6,group_344,8979,A
345,8,group_345,6300,D
346,2,group_346,5712,C
347,8,group_347,5533,B
348,4,group_348,5008,S
349,10,group_349,7441,C
350,8,group_350,449,D
351,7,group_351,3015,C
352,6,group_352,3118,B
353,8,group_353,505,B
354,2,group_354,9419,A
355,7,group_355,8918,B
356,10,group_356,7300,D
357,3,group_357,4216,A
358,2,group_358,3327,S
359,7,group_359,2641,S
360,8,group_360,7832,D
361,3,group_361,59,B
362,10,group_362,3548,C
363,7,group_363,7447,C
364,7,group_364,9050,C
365,8,group_365,6230,D
366,10,group_366,519,B
367,8,group_367,5818,C
368,9,group_368,3240,S
369,1,group_369,5624,C
370,10,group_370,7442,C
371,7,group_371,9373,C
372,9,group_372,8831,B
373,10,group_373,4273,A
374,7,group_374,4309,D
375,7,group_375,1372,S
376,3,group_376,471,D
377,2,group_377,8166,C
378,2,group_378,9575,C
379,3,group_379,1575,D
380,7,group_380,4906,B
381,1,group_381,6691,B
382,9,group_382,4524,S
383,5,group_383,8572,S
384,2,group_384,6993,C
385,3,group_385,7206,B
386,8,group_386,4402,D
387,8,group_387,4586,A
388,9,group_388,7245,B
389,9,group_389,7817,B
390,6,group_390,8545,C
391,3,group_391,685,C
392,4,group_392,6384,D
393,10,group_393,2376,D
394,4,group_394,6018,C
395,8,group_395,2104,A
396,7,group_396,1790,S
397,8,group_397,3008,A
398,3,group_398,5293,S
399,6,group_399,3882,B
400,9,group_400,1321,S
401,2,group_401,7224,B
402,9,group_402,3243,A
403,7,group_403,6049,B
404,2,group_404,5315,C
405,10,group_405,5005,D
406,10,group_406,6849,B
407,6,group_407,118,S
408,5,group_408,1553,S
409,1,group_409,654,B
410,10,group_410,2714,A
411,8,group_411,1738,S
412,10,group_412,5043,S
413,9,group_413,2793,D
414,5,group_414,5815,C
415,2,group_415,7158,B
416,10,group_416,2933,C
417,4,group_417,5088,S
418,3,group_418,7905,D
419,8,group_419,7953,B
420,6,group_420,9315,A
421,4,group_421,3766,A
422,8,group_422,652,D
423,10,group_423,2370,D
424,3,group_424,2955,C
425,8,group_425,1897,S
426,9,group_426,9733,S
427,2,group_427,1875,D
428,1,group_428,3471,S
429,8,group_429,5666,S
430,3,group_430,6981,B
431,6,group_431,7609,C
432,4,group_432,4351,C
433,9,group_433,3122,C
434,2,group_434,3060,B
435,4,group_435,9749,C
436,8,group_436,1894,C
437,8,group_437,3151,C
438,2,group_438,8965,D
439,10,group_439,4051,C
440,2,group_440,8656,D
441,4,group_441,5121,B
442,7,group_442,1774,C
443,7,group_443,6540,B
444,10,group_444,6221,C
445,5,group_445,2726,D
446,8,group_446,6702,B
447,4,group_447,9781,C
448,9,group_448,8551,A
449,10,group_449,6916,A
450,2,group_450,5772,S
451,5,group_451,4950,S
452,4,group_452,3390,A
453,6,group_453,5890,D
454,2,group_454,1420,C
455,8,group_455,1454,S
456,7,group_456,1444,S
457,4,group_457,5894,C
458,10,group_458,446,D
459,3,group_459,9376,C
460,3,group_460,3939,D
461,10,group_461,6633,A
462,5,group_462,8273,B
463,8,group_463,1846,S
464,4,group_464,1507,D
465,5,group_465,4322,A
466,8,group_466,7137,S
467,9,group_467,7494,C
468,10,group_468,6269,A
469,6,group_469,9179,A
470,4,group_470,7957,A
471,9,group_471,3472,C
472,5,group_472,149,A
473,4,group_473,3764,D
474,3,group_474,3969,B
475,10,group_475,9799,A
476,6,group_476,6641,D
477,1,group_477,3547,S
478,1,group_478,1236,B
479,4,group_479,3225,C
480,2,group_480,8623,D
481,10,group_481,7229,S
482,2,group_482,3513,B
483,8,group_483,1439,C
484,3,group_484,4877,S
485,8,group_485,3018,D
486,5,group_486,8823,C
487,1,group_487,4638,D
488,2,group_488,2918,D
489,4,group_489,8163,D
490,5,group_490,1380,B
491,10,group_491,9917,A
492,8,group_492,6264,D
493,6,group_493,2662,S
494,4,group_494,9926,A
495,1,group_495,8409,S
496,4,group_496,6981,A
497,8,group_497,935,C
498,5,group_498,7452,A
499,9,group_499,2777,D
500,9,group_500,1231,B
501,5,group_501,5746,D
502,4,group_502,3476,C
503,4,group_503,7930,D
504,5,group_504,1946,A
505,7,group_505,5046,A
506,5,group_506,4049,C
507,7,group_507,5870,S
508,5,group_508,2443,S
509,8,group_509,3444,B
510,4,group_510,248,A
511,3,group_511,5094,D
512,8,group_512,1613,S
513,3,group_513,6911,A
514,1,group_514,9266,S
515,8,group_515,3485,B
516,3,group_516,234,D
517,6,group_517,4727,A
518,9,group_518,2490,S
519,2,group_519,3275,A
520,6,group_520,8049,C
521,3,group_521,9737,A
522,3,group_522,3805,C
523,4,group_523,3723,A
524,3,group_524,9433,B
525,5,group_525,3278,C
526,7,group_526,5226,D
527,7,group_527,9776,S
528,6,group_528,9373,A
529,3,group_529,2483,S
530,4,group_530,4841,B
531,4,group_531,6246,C
532,8,group_532,4281,D
533,4,group_533,9095,D
534,9,group_534,7475,B
535,1,group_535,6663,A
536,2,group_536,9249,D
537,10,group_537,4407,C
538,7,group_538,6158,D
539,3,group_539,838,S
540,8,group_540,5988,D
541,3,group_541,9936,S
542,7,group_542,2934,D
543,5,group_543,7260,B
544,5,group_544,2484,S
545,7,group_545,6339,D
546,8,group_546,1298,S
547,5,group_547,638,S
548,7,group_548,7182,C
549,6,group_549,9254,B
550,3,group_550,3327,D
551,6,group_551,6869,C
552,1,group_552,8670,A
553,9,group_553,7460,S
554,5,group_554,8021,D
555,10,group_555,7196,A
556,6,group_556,4728,D
557,7,group_557,2485,C
558,6,group_558,5558,C
559,3,group_559,8819,S
560,1,group_560,7204,C
561,5,group_561,79,C
562,1,group_562,365,A
563,8,group_563,4600,D
564,10,group_564,3507,C
565,8,group_565,3362,B
566,4,group_566,1436,S
567,3,group_567,9822,D
568,4,group_568,9455,B
569,8,group_569,5138,S
570,1,group_570,9922,D
571,9,group_571,8681,S
572,5,group_572,7490,D
573,7,group_573,6247,S
574,5,group_574,3447,S
575,8,group_575,8557,B
576,2,group_576,5634,C
577,6,group_577,8117,C
578,1,group_578,9782,D
579,6,group_579,5804,D
580,9,group_580,3641,S
581,3,group_581,6530,S
582,5,group_582,7705,C
583,4,group_583,7766,D
584,3,group_584,1517,B
585,1,group_585,6414,S
586,4,group_586,7494,A
587,2,group_587,3299,D
588,5,group_588,3283,A
589,10,group_589,1379,D
590,3,group_590,3272,A
591,8,group_591,4842,C
592,7,group_592,6975,D
593,3,group_593,2558,S
594,3,group_594,3185,S
595,2,group_595,5182,A
596,3,group_596,3623,D
597,2,group_597,6872,S
598,4,group_598,9956,D
599,6,group_599,4474,D
600,10,group_600,1824,S
601,9,group_601,488,A
602,1,group_602,6985,B
603,9,group_603,2925,D
604,8,group_604,3363,D
605,3,group_605,4460,A
606,7,group_606,9492,S
607,10,group_607,721,A
608,10,group_608,385,A
609,4,group_609,8431,D
610,8,group_610,2096,D
611,2,group_611,5663,S
612,8,group_612,9798,D
613,10,group_613,9311,B
614,9,group_614,5942,B
615,1,group_615,8501,C
616,10,group_616,7930,B
617,6,group_617,1849,A
618,2,group_618,4600,C
619,10,group_619,2260,C
620,10,group_620,3026,C
621,9,group_621,9743,A
622,3,group_622,6104,B
623,3,group_623,6573,C
624,8,group_624,6874,S
625,7,group_625,3036,D
626,5,group_626,9532,A
627,5,group_627,8932,D
628,10,group_628,9227,C
629,4,group_629,6804,D
630,8,group_630,4472,D
631,7,group_631,2393,S
632,1,group_632,4771,C
633,3,group_633,7633,S
634,1,group_634,813,S
635,1,group_635,4552,A
636,6,group_636,9419,B
637,8,group_637,9880,A
638,1,group_638,6845,A
639,8,group_639,2559,C
640,6,group_640,7604,A
641,3,group_641,9516,C
642,8,group_642,8182,S
643,10,group_643,3850,C
644,8,group_644,6183,S
645,4,group_645,8303,D
646,2,group_646,1375,D
647,10,group_647,3919,B
648,8,group_648,503,A
649,7,group_649,6907,A
650,4,group_650,3935,C
651,5,group_651,6234,S
652,2,group_652,6158,D
653,6,group_653,3524,S
654,6,group_654,6177,A
655,6,group_655,8432,C
656,9,group_656,9522,S
657,2,group_657,1496,A
658,9,group_658,1846,C
659,10,group_659,1410,B
660,4,group_660,567,C
661,4,group_661,7515,C
662,2,group_662,3759,S
663,6,group_663,2311,D
664,6,group_664,3866,B
665,3,group_665,1888,C
666,9,group_666,955,D
667,5,group_667,3059,C
668,1,group_668,9402,B
669,4,group_669,4210,S
670,8,group_670,8758,S
671,3,group_671,7295,C
672,6,group_672,7427,B
673,3,group_673,2573,A
674,7,group_674,568,S
675,4,group_675,6896,D
676,6,group_676,3605,D
677,1,group_677,3655,S
678,7,group_678,5179,S
679,9,group_679,4390,C
680,8,group_680,658,A
681,9,group_681,1838,D
682,8,group_682,7100,S
683,1,group_683,7449,A
684,9,group_684,3042,B
685,4,group_685,9776,C
686,7,group_686,5378,D
687,10,group_687,662,S
688,3,group_688,7246,B
689,5,group_689,6947,B
690,5,group_690,4630,S
691,9,group_691,2334,C
692,2,group_692,9660,S
693,2,group_693,6372,C
694,5,group_694,7993,A
695,3,group_695,4261,A
696,8,group_696,2001,B
697,9,group_697,3641,B
698,10,group_698,9001,A
699,2,group_699,5513,A
700,8,group_700,8003,B
701,9,group_701,9036,B
702,9,group_702,2875,B
703,9,group_703,5762,D
704,2,group_704,3084,S
705,9,group_705,2242,A
706,2,group_706,9867,A
707,7,group_707,1103,D
708,4,group_708,2056,D
709,6,group_709,8170,A
710,3,group_710,395,B
711,7,group_711,331,D
712,3,group_712,1424,B
713,10,group_713,8408,C
714,8,group_714,4701,C
715,10,group_715,5380,C
716,1,group_716,2938,S
717,6,group_717,6481,A
718,10,group_718,6280,B
719,2,group_719,7847,D
720,5,group_720,7114,A
721,8,group_721,853,C
722,7,group_722,2234,B
723,2,group_723,8683,B
724,5,group_724,4030,A
725,9,group_725,2528,A
726,4,group_726,1296,A
727,7,group_727,2963,C
728,5,group_728,6711,C
729,3,group_729,5784,B
730,4,group_730,6866,S
731,8,group_731,8209,A
732,5,group_732,7973,A
733,4,group_733,8134,B
734,2,group_734,736,D
735,8,group_735,5351,B
736,10,group_736,84,A
737,4,group_737,1214,A
738,10,group_738,7361,S
739,6,group_739,7223,A
740,7,group_740,4543,B
741,4,group_741,499,D
742,5,group_742,7674,B
743,10,group_743,9251,A
744,7,group_744,9288,A
745,1,group_745,8585,A
746,1,group_746,7174,B
747,7,group_747,8313,B
748,8,group_748,6498,A
749,1,group_749,7855,S
750,3,group_750,9165,C
751,3,group_751,244,C
752,1,group_752,464,C
753,3,group_753,8301,S
754,4,group_754,5328,D
755,5,group_755,2002,B
756,1,group_756,3168,B
757,10,group_757,7097,D
758,7,group_758,3605,C
759,6,group_759,6241,S
760,1,group_760,1501,C
761,10,group_761,9087,A
762,6,group_762,8694,B
763,1,group_763,2121,B
764,7,group_764,5286,S
765,8,group_765,219,D
766,4,group_766,1352,S
767,9,group_767,5462,S
768,5,group_768,3876,B
769,10,group_769,5299,C
770,6,group_770,4758,S
771,10,group_771,5501,S
772,10,group_772,4067,D
773,5,group_773,7471,B
774,7,group_774,4000,D
775,9,group_775,5315,B
776,9,group_776,8912,D
777,3,group_777,3329,D
778,4,group_778,9572,A
779,5,group_779,7921,B
780,5,group_780,7484,B
781,4,group_781,6839,B
782,1,group_782,5260,C
783,4,group_783,217,D
784,6,group_784,9739,B
785,8,group_785,7706,S
786,4,group_786,661,B
787,9,group_787,3990,C
788,1,group_788,7056,D
789,1,group_789,2704,D
790,8,group_790,5926,S
791,5,group_791,16,C
792,7,group_792,163,B
793,10,group_793,7987,S
794,4,group_794,767,A
795,2,group_795,2666,A
796,1,group_796,9411,C
797,4,group_797,1265,A
798,8,group_798,6506,S
799,3,group_799,8742,D
800,1,group_800,7858,D
801,2,group_801,9424,D
802,9,group_802,8439,C
803,8,group_803,2730,S
804,10,group_804,4526,S
805,6,group_805,5319,B
806,4,group_806,18,B
807,7,group_807,8383,S
808,2,group_808,3115,C
809,10,group_809,9225,S
810,6,group_810,1977,C
811,2,group_811,7339,S
812,6,group_812,6518,C
813,4,group_813,7571,B
814,10,group_814,1329,C
815,3,group_815,4240,C
816,5,group_816,7064,C
817,5,group_817,1063,A
818,8,group_818,4702,D
819,4,group_819,305,A
820,9,group_820,4707,D
821,10,group_821,4680,A
822,3,group_822,7022,C
823,1,group_823,9452,D
824,4,group_824,848,S
825,9,group_825,9601,B
826,3,group_826,3514,S
827,10,group_827,3354,D
828,7,group_828,8913,D
829,1,group_829,7813,C
830,2,group_830,2668,B
831,2,group_831,1586,D
832,6,group_832,6152,D
833,1,group_833,7502,D
834,2,group_834,1231,C
835,6,group_835,1678,B
836,4,group_836,7516,S
837,8,group_837,555,B
838,4,group_838,4647,C
839,5,group_839,1222,C
840,9,group_840,3998,C
841,7,group_841,9455,D
842,4,group_842,1886,C
843,10,group_843,8509,B
844,4,group_844,6279,S
845,6,group_845,3442,C
846,5,group_846,1018,A
847,5,group_847,3019,A
848,10,group_848,2027,S
849,8,group_849,1709,B
850,2,group_850,4750,B
851,10,group_851,3980,C
852,3,group_852,91,S
853,9,group_853,5725,C
854,8,group_854,9072,A
855,4,group_855,8226,C
856,8,group_856,5352,B
857,5,group_857,2137,C
858,7,group_858,8726,C
859,1,group_859,3440,C
860,5,group_860,297,C
861,6,group_861,373,D
862,10,group_862,9776,S
863,1,group_863,6440,S
864,5,group_864,8772,C
865,4,group_865,6144,C
866,5,group_866,959,D
867,3,group_867,8343,B
868,10,group_868,3686,C
869,4,group_869,2055,S
870,9,group_870,9239,D
871,7,group_871,6251,B
872,1,group_872,6691,D
873,8,group_873,2179,A
874,1,group_874,7920,B
875,8,group_875,4662,A
876,6,group_876,9931,S
877,5,group_877,1626,C
878,9,group_878,2520,S
879,6,group_879,5686,B
880,8,group_880,5530,A
881,2,group_881,842,A
882,8,group_882,7822,D
883,9,group_883,3153,D
884,2,group_884,1041,S
885,1,group_885,1524,A
886,3,group_886,3321,A
887,1,group_887,5384,S
888,4,group_888,4317,S
889,1,group_889,3512,C
890,9,group_890,9457,C
891,7,group_891,9105,S
892,2,group_892,2920,D
893,10,group_893,6730,C
894,3,group_894,2126,B
895,5,group_895,4214,C
896,1,group_896,2031,D
897,8,group_897,5612,D
898,3,group_898,1463,A
899,8,group_899,7724,B
900,1,group_900,3352,D
901,3,group_901,6611,A
902,7,group_902,4014,A
903,7,group_903,694,A
904,1,group_904,7585,S
905,8,group_905,7197,C
906,8,group_906,6135,C
907,5,group_907,2279,D
908,7,group_908,6473,A
909,8,group_909,3513,C
910,3,group_910,4316,A
911,2,group_911,8986,D
912,4,group_912,1645,C
913,4,group_913,7340,C
914,2,group_914,9354,B
915,2,group_915,4797,S
916,8,group_916,2009,A
917,2,group_917,6839,C
918,2,group_918,6849,B
919,7,group_919,4286,S
920,2,group_920,6778,S
921,1,group_921,432,S
922,2,group_922,7763,B
923,6,group_923,7402,B
924,5,group_924,926,A
925,8,group_925,9463,B
926,5,group_926,8403,A
927,4,group_927,4266,S
928,7,group_928,1223,D
929,5,group_929,9249,A
930,10,group_930,8641,C
931,2,group_931,4645,S
932,10,group_932,2714,S
933,2,group_933,7956,C
934,4,group_934,1253,B
935,8,group_935,804,S
936,10,group_936,949,S
937,8,group_937,5752,S
938,3,group_938,8391,A
939,8,group_939,2614,C
940,8,group_940,1641,C
941,2,group_941,2944,C
942,7,group_942,6860,S
943,10,group_943,9392,C
944,9,group_944,6341,S
945,5,group_945,5465,B
946,8,group_946,2832,D
947,6,group_947,2322,D
948,6,group_948,6001,B
949,10,group_949,1803,D
950,4,group_950,2586,S
951,3,group_951,2171,S
952,8,group_952,816,B
953,8,group_953,1948,D
954,1,group_954,349,B
955,7,group_955,7761,S
956,10,group_956,71,D
957,6,group_957,5605,A
958,10,group_958,3608,B
959,5,group_959,4018,D
960,8,group_960,188,A
961,2,group_961,6987,C
962,8,group_962,2487,D
963,10,group_963,5422,A
964,2,group_964,6801,C
965,4,group_965,7428,A
966,6,group_966,4526,B
967,8,group_967,7467,C
968,1,group_968,2914,S
969,3,group_969,554,A
970,7,group_970,3085,A
971,8,group_971,9812,A
972,8,group_972,9566,C
973,4,group_973,5947,S
974,1,group_974,2326,S
975,7,group_975,576,C
976,1,group_976,5274,A
977,1,group_977,3749,S
978,10,group_978,1895,D
979,9,group_979,6197,B
980,8,group_980,9021,A
981,4,group_981,886,A
982,2,group_982,9793,B
983,8,group_983,456,B
984,1,group_984,2427,A
985,5,group_985,9070,A
986,4,group_986,2529,C
987,1,group_987,3100,S
988,3,group_988,6519,A
989,10,group_989,6274,S
990,5,group_990,8059,A
991,1,group_991,2090,D
992,6,group_992,6879,A
993,6,group_993,8914,D
994,5,group_994,698,C
995,6,group_995,4350,D
996,5,group_996,308,B
997,4,group_997,7834,C
998,10,group_998,3102,D
999,10,group_999,141,S
1000,3,group_1000,9471,B
